route_id,route_long_name,route_areaid,direction_id,shape_id,route_code,shape_dist_traveled
1012,Term. Jd. Britania - Jd. Monte Belo,1,0,72757,10,6966.6655
1012,Term. Jd. Britania - Jd. Monte Belo,1,1,80489,10,6612.5259
1012,Jd. Rosinha - Term. Jd. Britânia,1,0,80490,21,4060.406
1015,Term. Jd. Britânia - Chác. Maria Trindade,1,0,78289,10,15113.749
1016,Cem. Do Horto - Shop. Center Norte,2,0,72283,10,11089.373
1016,Cem. Do Horto - Shop. Center Norte,2,1,70218,10,10615.992
1017,Perus - Conexão Vl. Iório,1,0,72355,10,16522.594
1017,Perus - Conexão Vl. Iório,1,1,72356,10,17383.904
1018,Vl. Rosa - Metrô Santana,2,0,71029,10,10214.691
1018,Vl. Rosa - Metrô Santana,2,1,71030,10,10280.435
1019,Sol Nascente - Term. Pirituba,1,0,78348,10,13519.263
1019,Sol Nascente - Term. Pirituba,1,1,78349,10,13611.516
1020,Perus - Conexão Vl. Iório ,1,0,69454,10,17916.311
1020,Perus - Conexão Vl. Iório ,1,1,80199,10,18806.383
1021,Cohab Brasilândia - Term. Pirituba,1,0,58785,10,9460.877
1021,Cohab Brasilândia - Term. Pirituba,1,1,58786,10,9796.9434
1023,Vl. Pirituba - Cptm Pirituba,1,0,72879,10,10557.109
1024,Jd. Carombé - Conexão Petrônio Portela,1,0,58765,10,7078.7632
1024,Jd. Carombé - Conexão Petrônio Portela,1,1,79504,10,6952.0396
1025,Jd. Carombé - Conexão Petrônio Portela,1,0,58767,10,6882.5166
1025,Jd. Carombé - Conexão Petrônio Portela,1,1,79505,10,6650.7764
1026,Vl. Iara - Conexão Petrônio Portela,1,0,60399,10,4957.8066
1026,Vl. Iara - Conexão Petrônio Portela,1,1,60400,10,4526.1216
1034,Vl. Iara - Conexão Vl. Iório,1,0,60393,10,3652.175
1034,Vl. Iara - Conexão Vl. Iório,1,1,60394,10,3527.3762
1036,Cohab Brasilândia - Conexão Vl. Iório,1,0,72689,10,7072.1074
1036,Cohab Brasilândia - Conexão Vl. Iório,1,1,72690,10,6780.624
106A,Metrô Santana - Itaim Bibi,2,0,60966,10,15903.604
106A,Metrô Santana - Itaim Bibi,2,1,60967,10,13222.136
107T,Metrô Tucuruvi - Term. Pinheiros,2,0,80406,10,20417.621
107T,Metrô Tucuruvi - Term. Pinheiros,2,1,68366,10,21018.016
1156,Vl. Sabrina - Pça. Do Correio,2,0,70848,10,15580.177
1156,Vl. Sabrina - Pça. Do Correio,2,1,70849,10,14222.506
1177,Term. A. E. Carvalho - Luz,3,0,71841,10,23719.523
1177,Term. A. E. Carvalho - Luz,3,1,72493,10,21918.439
1177,Term. A. E. Carvalho - Luz,3,0,70860,31,23526.662
1177,Term. A. E. Carvalho - Luz,3,1,70861,31,22849.813
1178,São Miguel - Pça. Do Correio,3,0,73003,10,32241.852
1178,São Miguel - Pça. Do Correio,3,1,70161,10,31518.344
