trip_headsign,freq
TERM. PQ. D. PEDRO II,52
TERM. STO. AMARO,48
METRÔ SANTANA,47
METRÔ ITAQUERA,47
STO. AMARO,33
LAPA,32
TERM. CAPELINHA,30
TERM. VARGINHA,28
TERM. CAMPO LIMPO,28
METRÔ BARRA FUNDA,27
TERM. PINHEIROS,27
TERM. PIRITUBA,26
TERM. LAPA,21
TERM. CACHOEIRINHA,21
METRÔ TATUAPÉ,20
TERM. GRAJAÚ,19
PÇA. RAMOS DE AZEVEDO,19
METRÔ TUCURUVI,18
TERM. SACOMÃ,17
TERM. BANDEIRA,17
CPTM GUAIANAZES,17
METRÔ BELÉM,16
PÇA. DO CORREIO,15
SHOP. ARICANDUVA,15
METRÔ ARTUR ALVIM,15
TERM. VL. CARRÃO,14
TERM. SÃO MATEUS,14
METRÔ JABAQUARA,13
METRÔ PENHA,13
TERM. PRINC. ISABEL,13
TERM. JOÃO DIAS,12
SÃO MATEUS,11
JD. ÂNGELA,11
METRÔ CONCEIÇÃO,11
METRÔ CARRÃO,11
TERM. PARELHEIROS,11
METRÔ ANA ROSA,11
TERM. A. E. CARVALHO,10
TERM. VL. SÔNIA,10
METRÔ VL. MARIANA,10
JD. MIRIAM,9
LGO. SÃO FRANCISCO,9
PINHEIROS,9
TERM. SAPOPEMBA,9
PÇA. DA SÉ,8
VALO VELHO,8
METRÔ STA. CRUZ,8
SHOP. CENTER NORTE,8
TERM. GUARAPIRANGA,8
JD. SELMA,8
CID. UNIVERSITÁRIA,8
CIRCULAR,8
PERUS,8
ITAIM BIBI,7
GUAIANAZES,7
PQ. EDU CHAVES,7
JABAQUARA,6
METRÔ SÃO JUDAS,6
CONEXÃO VL. IÓRIO,6
CPTM ITAIM PAULISTA,6
SÃO MIGUEL,6
PQ. IBIRAPUERA,6
TERM. ÁGUA ESPRAIADA,6
TERM. CID. TIRADENTES,6
PENHA,5
CPTM JOSÉ BONIFÁCIO,5
METRÔ BRESSER,5
METRÔ GUILHERMINA/ESPERANÇA,5
JD. DAS ROSAS,5
TERM. PENHA,5
E.T. ITAQUERA,5
CID. TIRADENTES,5
METRÔ VL. MATILDE,5
HOSP. DAS CLÍNICAS,5
VL. LIVIERO,5
LGO. DO PAISSANDÚ,5
JD. FONTÁLIS,5
CONEXÃO PETRÔNIO PORTELA,5
SHOP. MORUMBI,5
METRÔ SAÚDE,5
RIO PEQUENO,5
TERM. JD. ÂNGELA,5
PQ. RES. COCAIA,5
SHOP. INTERLAGOS,5
JD. MACEDÔNIA,5
JD. APURÁ,5
TERM. VL. PRUDENTE,4
TERM. ARICANDUVA,4
ITAIM PAULISTA,4
JD. PERY ALTO,4
VL. INDUSTRIAL,4
PARAISÓPOLIS,4
TERM. VL PRUDENTE,4
JD. GUARUJÁ,4
JD. HELENA,4
METRÔ MORUMBI,4
JD. SÃO JOÃO,4
TERM. SÃO MIGUEL,4
COHAB BRASILÂNDIA,4
JD. INGÁ,4
JD. LUSO,4
TERM. CASA VERDE,4
VL. CALIFÓRNIA,4
SHOP. D,4
JD. PAULISTANO,4
JD. SÃO FRANCISCO,4
JD. DAS OLIVEIRAS,4
JD. MITSUTANI,4
VL. OLÍMPIA,4
METRÔ BUTANTÃ,4
IPIRANGA,4
BARRO BRANCO,4
CANGAÍBA,3
JD. IBIRAPUERA,3
INOCOOP CAMPO LIMPO,3
ERMELINO MATARAZZO,3
VL. GILDA,3
SOCORRO,3
METALÚRGICOS,3
JD. NAKAMURA,3
JD. CASTRO ALVES,3
TERM. JD. JACIRA,3
METRÔ VL. MADALENA,3
PÇA. ALMEIDA JR.,3
JD. ITÁPOLIS,3
EST. AUTÓDROMO,3
SACOMÃ,3
JD. STO. ANDRÉ,3
