Term. Pq. D. Pedro Ii,55
Term. Sto. Amaro,50
Metrô Santana,47
Metrô Itaquera,46
Sto. Amaro,34
Lapa,34
Term. Capelinha,31
Term. Varginha,28
Term. Campo Limpo,28
Metrô Barra Funda,27
Term. Pinheiros,27
Term. Pirituba,26
Term. Grajaú,23
Term. Lapa,22
Term. Cachoeirinha,22
Metrô Tatuapé,20
Pça. Do Correio,20
Pça. Ramos De Azevedo,19
Metrô Tucuruvi,18
Term. Bandeira,17
Term. Sacomã,17
Cptm Guaianazes,17
Term. São Mateus,17
Metrô Belém,16
Shop. Aricanduva,15
Metrô Artur Alvim,15
Term. Vl. Carrão,14
Term. Princ. Isabel,14
Jd. âNgela,13
Metrô Penha,13
Term. João Dias,13
Metrô Jabaquara,13
Term. A. E. Carvalho,12
São Mateus,12
Lgo. São Francisco,11
Term. Parelheiros,11
Metrô Ana Rosa,11
Metrô Carrão,11
Metrô Conceição,11
Metrô Vl. Mariana,10
Pinheiros,10
Term. Vl. Sônia,10
São Miguel,9
Term. Sapopemba,9
Jd. Miriam,9
Pça. Da Sé,9
Valo Velho,8
Cid. Universitária,8
Metrô Sta. Cruz,8
Circular,8
Jd. Selma,8
Pq. Edu Chaves,8
Term. Guarapiranga,8
Shop. Center Norte,8
Perus,8
Guaianazes,7
Itaim Bibi,7
Pq. Ibirapuera,6
Term. Cid. Tiradentes,6
Shop. Interlagos,6
E.t. Itaquera,6
Term. áGua Espraiada,6
Cptm Itaim Paulista,6
Metrô São Judas,6
Conexão Vl. Iório,5
Term. Mercado,5
Term. Jd. âNgela,5
Jabaquara,5
Rio Pequeno,5
Hosp. Das Clínicas,5
Term. Penha,5
Metrô Vl. Matilde,5
Vl. Industrial,5
Cptm José Bonifácio,5
Jd. Fontális,5
Lgo. Do Paissandú,5
Cid. Tiradentes,5
Metrô Guilhermina/esperança,5
Shop. Morumbi,5
Jd. Pery Alto,5
Jd. Macedônia,5
Metrô Bresser,5
Term. Vl. Prudente,5
Penha,5
Conexão Petrônio Portela,5
Jd. Das Rosas,5
Pq. Res. Cocaia,5
Metrô Saúde,5
Jd. Apurá,5
Jd. Luso,4
Pça. João Mendes,4
Term. Aricanduva,4
Eldorado,4
Paraisópolis,4
Jd. Helena,4
Vl. Olímpia,4
Ipiranga,4
Vl. Liviero,4
Pça. Da República,4
Jd. Guarujá,4
Jd. Ingá,4
Vl. Califórnia,4
Metrô Morumbi,4
Barro Branco,4
Metrô Butantã,4
Jd. São Francisco,4
Itaim Paulista,4
Term. Vl Prudente,4
Jd. Paulistano,4
Metrô Tamanduateí,4
Term. São Miguel,4
Jd. Das Oliveiras,4
Term. Casa Verde,4
Vl. Sabrina,4
Cohab Brasilândia,4
Jd. Mitsutani,4
Shop. D,4
