route_id,route_long_name,route_color,direction_id,shape_id,shape_dist_traveled
1012-10,Term. Jd. Britania - Jd. Monte Belo,509E2F,0,72757,6961.7739
1012-10,Term. Jd. Britania - Jd. Monte Belo,509E2F,1,72758,6597.3252
1012-21,Jd. Rosinha - Term. Jd. Britânia,509E2F,0,79152,3999.8555
1015-10,Term. Jd. Britânia - Chác. Maria Trindade,509E2F,0,78289,15000.889
1016-10,Cem. Do Horto - Shop. Center Norte,002F6C,0,72283,11070.974
1016-10,Cem. Do Horto - Shop. Center Norte,002F6C,1,70218,10612.112
1017-10,Perus - Conexão Vl. Iório,509E2F,0,72355,16521.496
1017-10,Perus - Conexão Vl. Iório,509E2F,1,72356,17356.814
1018-10,Vl. Rosa - Metrô Santana,002F6C,0,71029,10223.536
1018-10,Vl. Rosa - Metrô Santana,002F6C,1,71030,10287.44
1019-10,Sol Nascente - Term. Pirituba,509E2F,0,78348,13521.668
1019-10,Sol Nascente - Term. Pirituba,509E2F,1,78349,13613.928
1020-10,Perus - Conexão Vl. Iório ,509E2F,0,69454,17911.16
1020-10,Perus - Conexão Vl. Iório ,509E2F,1,70426,18294.809
1021-10,Cohab Brasilândia - Term. Pirituba,509E2F,0,58785,9446.8145
1021-10,Cohab Brasilândia - Term. Pirituba,509E2F,1,58786,9782.876
1023-10,Vl. Pirituba - Cptm Pirituba,509E2F,0,72879,10552.797
1024-10,Jd. Carombé - Conexão Petrônio Portela,509E2F,0,58765,7094.3647
1024-10,Jd. Carombé - Conexão Petrônio Portela,509E2F,1,79504,6952.8442
1025-10,Jd. Carombé - Conexão Petrônio Portela,509E2F,0,58767,6911.5649
1025-10,Jd. Carombé - Conexão Petrônio Portela,509E2F,1,79505,6664.6177
1026-10,Vl. Iara - Conexão Petrônio Portela,509E2F,0,60399,4965.3857
1026-10,Vl. Iara - Conexão Petrônio Portela,509E2F,1,60400,4531.5957
1034-10,Vl. Iara - Conexão Vl. Iório,509E2F,0,60393,3705.6826
1034-10,Vl. Iara - Conexão Vl. Iório,509E2F,1,60394,3535.0681
1036-10,Cohab Brasilândia - Conexão Vl. Iório,509E2F,0,72689,7091.9673
1036-10,Cohab Brasilândia - Conexão Vl. Iório,509E2F,1,72690,6778.0928
106A-10,Metrô Santana - Itaim Bibi,002F6C,0,60966,15910.537
106A-10,Metrô Santana - Itaim Bibi,002F6C,1,60967,13220.728
107T-10,Metrô Tucuruvi - Term. Pinheiros,002F6C,0,68365,20466.682
107T-10,Metrô Tucuruvi - Term. Pinheiros,002F6C,1,68366,21008.459
1156-10,Vl. Sabrina - Pça. Do Correio,002F6C,0,70848,15591.243
1156-10,Vl. Sabrina - Pça. Do Correio,002F6C,1,70849,14229.061
1177-10,Term. A. E. Carvalho - Luz,FFD100,0,71841,23724.133
1177-10,Term. A. E. Carvalho - Luz,FFD100,1,72493,21914.156
1177-31,Term. A. E. Carvalho - Luz,FFD100,0,70860,24081.17
1177-31,Term. A. E. Carvalho - Luz,FFD100,1,70861,22874.289
1178-10,São Miguel - Pça. Do Correio,FFD100,0,73003,32239.941
1178-10,São Miguel - Pça. Do Correio,FFD100,1,70161,31518.508
1178-31,São Miguel - Pça. Do Correio,FFD100,0,73004,30241.203
1178-31,São Miguel - Pça. Do Correio,FFD100,1,70712,29642.643
1178-32,Abel Tavares - Pça. Do Correio,FFD100,0,58412,25183.5
1178-33,Pça. Do Correio - São Miguel,FFD100,0,61711,30780.871
1178-42,Conj. Hab. Vl. Sílvia - Pça. Do Correio,FFD100,0,73005,22254.467
118C-10,Jd. Pery Alto - Term. Amaral Gurgel,002F6C,0,73132,18336.1
118C-10,Jd. Pery Alto - Term. Amaral Gurgel,002F6C,1,72243,18052.453
118Y-10,Lauzane Paulista - Lapa,002F6C,0,72957,15373.037
118Y-10,Lauzane Paulista - Lapa,002F6C,1,79096,15044.89
119C-10,Pq. Edu Chaves - Term. Princ. Isabel,002F6C,0,71438,16309.454
119C-10,Pq. Edu Chaves - Term. Princ. Isabel,002F6C,1,71439,17146.225
119L-10,Vl. Sulina - Term. Lapa,509E2F,0,79401,23322.197
119L-10,Vl. Sulina - Term. Lapa,509E2F,1,79402,17532.871
1206-10,Pq. Vl. Maria - Correio,002F6C,0,64536,27312.191
121G-10,Pq. Novo Mundo - Metrô Tucuruvi,002F6C,0,52421,20195.83
128Y-10,Jd. Pery Alto - Lapa,002F6C,0,72731,15317.75
128Y-10,Jd. Pery Alto - Lapa,002F6C,1,79097,15965.82
129F-10,Conexão Petrônio Portela - Metrô Barra Funda,509E2F,0,63902,9480.707
129F-10,Conexão Petrônio Portela - Metrô Barra Funda,509E2F,1,63903,8056.292
129F-41,Conexão Petrônio Portela - Pça. Do Correio,509E2F,0,72391,11686.986
129F-41,Conexão Petrônio Portela - Pça. Do Correio,509E2F,1,72392,11846.193
139A-10,Vl. Iório - Lapa,509E2F,0,61292,7020.5073
139A-10,Vl. Iório - Lapa,509E2F,1,61293,7535.6357
148L-10,Cohab Antártica - Lapa,002F6C,0,79128,16602.389
148L-10,Cohab Antártica - Lapa,002F6C,1,52858,15790.876
148P-10,Pedra Branca - Metrô Barra Funda,002F6C,0,62166,16835.275
148P-10,Pedra Branca - Metrô Barra Funda,002F6C,1,68275,18267.018
1701-10,Jova Rural - Metrô Santana,002F6C,0,61085,22278.707
1701-21,Jova Rural - Metrô Tucuruvi,002F6C,0,71290,6162.6377
1701-21,Jova Rural - Metrô Tucuruvi,002F6C,1,71291,6770.3501
1701-22,Jova Rural - Metrô Tucuruvi,002F6C,0,71825,6326.7188
1701-22,Jova Rural - Metrô Tucuruvi,002F6C,1,71826,6912.4063
1702-10,Jova Rural - Tietê,002F6C,0,61553,16031.993
1702-10,Jova Rural - Tietê,002F6C,1,61554,15037.369
1703-10,Jd. Fontális - Shop. Center Norte,002F6C,0,78842,14896.135
1703-10,Jd. Fontális - Shop. Center Norte,002F6C,1,78843,14258.463
1705-10,Jd. São João - Metrô Tucuruvi,002F6C,0,72914,8542.8682
1705-10,Jd. São João - Metrô Tucuruvi,002F6C,1,72290,8163.6899
1705-51,Cem. Pq. Da Cantareira - Metrô Tucuruvi,002F6C,0,71838,7295.0474
1705-51,Cem. Pq. Da Cantareira - Metrô Tucuruvi,002F6C,1,71839,9072.7373
1709-10,Jd. Joana D'arc - Metrô Tucuruvi,002F6C,0,72915,8722.0918
1709-10,Jd. Joana D'arc - Metrô Tucuruvi,002F6C,1,69504,8894.6484
1709-21,Jd. Joamar - Metrô Tucuruvi,002F6C,0,72916,5799.5161
1720-10,Jd. Guancã - Cantareira,002F6C,0,72291,15914.842
1720-10,Jd. Guancã - Cantareira,002F6C,1,72292,16547.471
1720-21,Vila Sabrina - Metrô Tucuruvi,002F6C,0,52936,9143.2441
1721-10,Vl. Sabrina - Metrô Carandiru,002F6C,0,52941,17704.955
1722-10,Jd. Marina - Metrô Tucuruvi,002F6C,0,65279,16253.401
1722-10,Jd. Marina - Metrô Tucuruvi,002F6C,1,69502,17347.426
1726-10,Cem. Pq. Dos Pinheiros - Metrô Santana,002F6C,0,52429,13318.579
1726-10,Cem. Pq. Dos Pinheiros - Metrô Santana,002F6C,1,72370,13248.149
172J-10,Jd. Brasil - Tatuapé,002F6C,0,79581,13643.761
172J-10,Jd. Brasil - Tatuapé,002F6C,1,70928,13533.345
172K-10,Jd. Tremembé - Metrô Tatuapé,002F6C,0,63523,20605.33
172K-10,Jd. Tremembé - Metrô Tatuapé,002F6C,1,59869,18943.389
172N-10,Shop. Center Norte - Metrô Belém,002F6C,0,60354,17064.836
172N-10,Shop. Center Norte - Metrô Belém,002F6C,1,71105,14599.837
172P-10,Vl. Zilda - Metrô Belém,002F6C,0,53714,21072.465
172P-10,Vl. Zilda - Metrô Belém,002F6C,1,79831,21398.4
172R-10,Jaçanã - Metrô Belém,002F6C,0,72285,14057.447
172R-10,Jaçanã - Metrô Belém,002F6C,1,63503,13966.008
172U-10,Cem. Pq. Dos Pinheiros - Mooca,002F6C,0,72917,24852.02
172U-10,Cem. Pq. Dos Pinheiros - Mooca,002F6C,1,72918,24717.277
172X-10,Pq. Novo Mundo - Metrô Tatuapé,002F6C,0,72368,7907.8281
172X-10,Pq. Novo Mundo - Metrô Tatuapé,002F6C,1,72369,9834.8848
172Y-10,Vl. Constança - Metrô Belém,002F6C,0,72287,12181.105
172Y-10,Vl. Constança - Metrô Belém,002F6C,1,72288,12111.853
1730-10,Center Norte - Metrô Santana,002F6C,0,70938,3667.4692
1730-10,Center Norte - Metrô Santana,002F6C,1,70682,8006.4375
1732-10,Vl. Sabrina - Term. Amaral Gurgel,002F6C,0,59676,18122.656
1732-10,Vl. Sabrina - Term. Amaral Gurgel,002F6C,1,72282,18265.496
1738-10,Vl. Constança - Metrô Santana,002F6C,0,56833,10905.042
1738-10,Vl. Constança - Metrô Santana,002F6C,1,56835,9983.1611
1741-10,Vl. Dionisia - Metrô Santana,002F6C,0,71673,9107.7959
1741-10,Vl. Dionisia - Metrô Santana,002F6C,1,71674,7749.1807
1742-10,Jd. Antártica - Metrô Santana,002F6C,0,70337,9824.751
1742-10,Jd. Antártica - Metrô Santana,002F6C,1,69928,10081.199
