Term. Pq. D. Pedro Ii,23
Term. Pinheiros,10
Term. Sto. Amaro,9
Metrô Itaquera,6
Term. Vl. Carrão,5
Term. Lapa,5
Metrô Santana,4
Term. São Mateus,4
Term. Sacomã,4
Term. Vl. Prudente,4
Term. Cachoeirinha,3
Term. São Miguel,3
Term. A. E. Carvalho,3
Term. Capelinha,3
Metrô Tucuruvi,3
Term. Grajaú,3
Term. Cid. Tiradentes,3
Metrô Jabaquara,2
Cptm Guaianazes,2
Sta. Cecília,2
Vl. Cisper (cptm Usp),2
Jd. Camargo Velho,2
Pq. Do Lago,2
Pq. Continental,2
Valo Velho,2
Term. Campo Limpo,2
Jd. Planalto,2
Jd. Celeste,2
Term. Aricanduva,2
Metrô Belém,2
Pedra Branca,2
Term. Pirituba,2
Term. Casa Verde,2
Metrô Vl. Madalena,2
Vargem Grande,1
Vl. Gilda,1
Term. Jd. Jacira,1
Cid. D’abril 3ª Gleba,1
Taipas,1
Term. Jd. âNgela,1
Eldorado,1
Vl. Missionária,1
Unisa,1
Jd. Noronha,1
Jd. Gaivotas,1
Jd. Luso,1
Morumbi Shop.,1
Jd. Donária,1
Morro Doce,1
Perus,1
Pq. São Domingos,1
Cachoeira,1
Hosp. Heliópolis,1
Pq. Da Lapa,1
Cohab Raposo Tavares,1
Metrô Vl. Mariana,1
Cptm Leopoldina,1
Cdhu Butantã,1
Jd. João Xxiii,1
Ceasa,1
Metrô Barra Funda,1
Metrô Butantã,1
Jd. Guarujá,1
Jd. Irene,1
Jd. Vaz De Lima,1
Term. João Dias,1
Jd. Riviera,1
Jd. Universal,1
Vl. Piauí,1
Jd. Horizonte Azul,1
Jd. São Roberto,1
Jd. Princesa,1
Jd. Itápolis,1
Jd. Danfer,1
Artur Alvim,1
Pq. Novo Mundo,1
Ermelino Matarazzo,1
Cid. Kemel,1
Vl. Sabrina,1
Oliveirinha,1
Lgo. Do Pery,1
Jd. Antártica,1
Pq. Edu Chaves,1
Cem. Pq. Dos Pinheiros,1
Vl. Nova Galvão,1
Jd. Pery Alto,1
Jd. Flôr De Maio,1
Jd. Brasil,1
Jd. Campo Limpo,1
Jd. Sto. Antônio,1
Vl. Cisper,1
Vl. Albertina,1
Term. Penha,1
Vl. Arapuá,1
Jd. Paulistano,1
Hosp. São Mateus,1
Vl. Mirante,1
Jd. Carombé,1
Vl. Yolanda,1
Savoy/dalila,1
Cohab Fazenda Do Carmo,1
Hosp. Sta. Marcelina,1
Barro Branco,1
Metalúrgicos,1
Jd. Iv Centenário,1
Jd. Sto. André,1
Jd. Limoeiro,1
Morro Grande,1
Pq. Arariba,1
